Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1778.12527718724
FDW14,OUT017,1419.23058902967
NCN55,OUT010,630.172337602641
FDQ58,OUT017,2574.36799805176
FDY38,OUT027,6235.38685252687
FDH56,OUT046,1926.7591683213
FDL48,OUT018,694.822379236039
FDC48,OUT027,2133.99943078989
FDN33,OUT045,1503.31305656882
FDA36,OUT017,3125.56792766067
FDT44,OUT017,1985.74125479732
FDQ56,OUT045,1322.72350030008
NCC54,OUT019,671.973357819909
FDU11,OUT049,2048.82417673187
DRL59,OUT013,823.146173766223
FDM24,OUT049,2542.30231772661
FDI57,OUT045,3369.96522039122
DRC12,OUT018,2655.29082226626
NCM42,OUT027,2887.7379658818
FDA46,OUT010,486.694923348157
FDA31,OUT013,2823.69171562557
NCJ31,OUT035,4128.90326043163
FDG52,OUT046,739.203223249997
NCL19,OUT019,344.300783171273
FDS10,OUT035,3060.63855957119
FDX22,OUT010,545.814365178894
NCF19,OUT035,794.300388524785
NCE06,OUT046,2593.91786219821
DRC27,OUT046,3913.51891467615
FDE21,OUT035,1976.90692461744
NCR42,OUT019,66.9298269323102
FDX51,OUT018,2774.22996161786
NCR06,OUT018,573.995771443243
FDU31,OUT027,5889.82083652837
FDU59,OUT017,2782.20945014497
FDR03,OUT027,5545.90893857769
FDS49,OUT027,2141.78456181434
FDD48,OUT010,259.894763688303
NCF18,OUT017,3196.01274091219
NCD43,OUT027,2720.02846762321
NCD54,OUT018,1968.52774193774
FDY19,OUT010,269.827771710962
NCY54,OUT017,2872.41770602368
NCL19,OUT018,2010.92296741422
FDP23,OUT010,583.092910074372
FDC26,OUT013,1819.05456851349
FDR14,OUT010,102.246121260858
NCS41,OUT035,3138.32613847405
FDF41,OUT035,4142.73482993681
FDU34,OUT046,2012.49045711832
DRH11,OUT046,906.213974945165
FDM03,OUT013,1711.39955951254
FDS31,OUT017,3085.95896630221
FDJ20,OUT017,2073.03476202346
FDV44,OUT027,5078.08416612415
FDG02,OUT049,3200.35646859419
FDA09,OUT013,2929.57357861659
FDT04,OUT013,589.149977768847
FDL58,OUT019,739.146173135459
FDE52,OUT045,1380.09973923208
FDW12,OUT035,2481.53276134934
FDL51,OUT017,3574.05208223327
NCY42,OUT027,3724.50313752742
FDR07,OUT017,1619.68398512659
FDN40,OUT045,2293.43670355329
FDB35,OUT027,2440.42842863427
FDA22,OUT017,2802.0168524241
NCL06,OUT046,4283.51412450393
FDI35,OUT013,2941.40528583631
NCW42,OUT045,3441.88480841924
NCX06,OUT049,2968.19697787054
FDC37,OUT027,2856.13472142382
FDZ14,OUT018,1659.00066563863
DRG49,OUT049,4129.7810320603
NCG06,OUT045,4011.68354910598
DRC36,OUT045,2738.41600983927
FDV21,OUT019,299.229494249789
FDB53,OUT046,2343.49435729219
DRP47,OUT019,650.041829346697
FDA14,OUT013,2252.55153336547
DRC24,OUT035,2578.74197516818
FDW21,OUT018,1397.41813559386
NCH29,OUT046,1584.32079294851
FDU58,OUT013,3083.3809432367
FDY27,OUT017,2901.6082426173
