Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1770.72300426171
FDW14,OUT017,1388.40924467781
NCN55,OUT010,567.553841081132
FDQ58,OUT017,2619.34095074911
FDY38,OUT027,6212.88422569766
FDH56,OUT046,1918.32296530328
FDL48,OUT018,676.312193491801
FDC48,OUT027,2127.57214051414
FDN33,OUT045,1513.31234648926
FDA36,OUT017,3159.10147459473
FDT44,OUT017,1944.78266429264
FDQ56,OUT045,1347.54843791864
NCC54,OUT019,580.955586257986
FDU11,OUT049,2007.80811440687
DRL59,OUT013,849.363711573603
FDM24,OUT049,2516.70041378323
FDI57,OUT045,3458.3547633397
DRC12,OUT018,2739.04399196906
NCM42,OUT027,2918.42234172715
FDA46,OUT010,468.689867452117
FDA31,OUT013,2858.56590696485
NCJ31,OUT035,3982.6457366648
FDG52,OUT046,759.227897167218
NCL19,OUT019,350.118433595992
FDS10,OUT035,3060.97691876523
FDX22,OUT010,516.150958281432
NCF19,OUT035,790.923232102558
NCE06,OUT046,2640.04285841363
DRC27,OUT046,3979.58242669648
FDE21,OUT035,1989.50090076868
NCR42,OUT019,73.954567548377
FDX51,OUT018,2689.95135105095
NCR06,OUT018,425.1908107761
FDU31,OUT027,5918.56763640371
FDU59,OUT017,2724.745480236
FDR03,OUT027,4908.32027854248
FDS49,OUT027,2235.92480563329
FDD48,OUT010,262.29341956723
NCF18,OUT017,3199.07926627447
NCD43,OUT027,2692.72285292952
NCD54,OUT018,1960.46096506064
FDY19,OUT010,261.384692215839
NCY54,OUT017,2829.62676464796
NCL19,OUT018,1990.9285597
FDP23,OUT010,532.000324112624
FDC26,OUT013,1813.92153182559
FDR14,OUT010,145.923654048881
NCS41,OUT035,3088.78252516679
FDF41,OUT035,4124.12954914798
FDU34,OUT046,2046.99476977284
DRH11,OUT046,909.571696249989
FDM03,OUT013,1727.09314217977
FDS31,OUT017,3037.30612245845
FDJ20,OUT017,2034.3077607475
FDV44,OUT027,5213.24080805823
FDG02,OUT049,3133.07914423219
FDA09,OUT013,2946.47188058161
FDT04,OUT013,616.443254837413
FDL58,OUT019,626.510255181881
FDE52,OUT045,1409.84823847081
FDW12,OUT035,2431.43152079028
FDL51,OUT017,3582.8328217302
NCY42,OUT027,3725.69872518441
FDR07,OUT017,1595.27476319864
FDN40,OUT045,2148.45658182456
FDB35,OUT027,2310.36746998409
FDA22,OUT017,2789.59243138761
NCL06,OUT046,4292.16434206137
FDI35,OUT013,2980.39889542848
NCW42,OUT045,3532.5932412805
NCX06,OUT049,2982.99584978833
FDC37,OUT027,2866.47566880454
FDZ14,OUT018,1680.22417741985
DRG49,OUT049,4063.98309503496
NCG06,OUT045,4056.39717707823
DRC36,OUT045,2788.19138590959
FDV21,OUT019,336.601643116046
FDB53,OUT046,2428.72348431874
DRP47,OUT019,590.459734794216
FDA14,OUT013,2347.61293037074
DRC24,OUT035,2599.61247960929
FDW21,OUT018,1337.96179536944
NCH29,OUT046,1614.6805399036
FDU58,OUT013,3127.4363865131
FDY27,OUT017,2954.41652488876
FDV56,OUT035,1842.40000710251
FDT59,OUT046,3791.8843393661
FDB23,OUT046,3734.97435864042
FDR49,OUT045,737.449604309397
FDB03,OUT010,629.441813466859
FDN39,OUT045,2648.54275352293
FDX02,OUT027,5836.83470571387
FDQ16,OUT027,2874.56944751376
FDU35,OUT018,1401.59109434828
NCT29,OUT013,1985.22945200718
FDZ27,OUT046,771.068705031407
FDN57,OUT017,2338.5994445088
FDA03,OUT018,2004.90421101912
FDZ36,OUT045,2982.45284027052
NCU05,OUT013,1304.53094221686
FDT39,OUT018,2052.45981828915
FDK60,OUT017,1601.78081662236
FDZ25,OUT017,2871.73621527529
FDG12,OUT046,2020.47675516789
DRB01,OUT019,453.361004726488
NCC43,OUT027,6515.5843288948
FDX13,OUT019,597.091495662458
