Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1723.93807987702
FDW14,OUT017,1395.61336916218
NCN55,OUT010,583.736091412742
FDQ58,OUT017,2477.87469823213
FDY38,OUT027,6233.52416042781
FDH56,OUT046,1872.37018072252
FDL48,OUT018,800.791743458878
FDC48,OUT027,2157.21505197861
FDN33,OUT045,1530.24913217525
FDA36,OUT017,2987.06057543428
FDT44,OUT017,1891.50796445811
FDQ56,OUT045,1364.78258176787
NCC54,OUT019,580.514546629732
FDU11,OUT049,1954.85092796311
DRL59,OUT013,831.580975618755
FDM24,OUT049,2423.5747930515
FDI57,OUT045,3177.0063554804
DRC12,OUT018,3072.19126800922
NCM42,OUT027,2919.19372149733
FDA46,OUT010,467.738747922438
FDA31,OUT013,2797.11479538816
NCJ31,OUT035,3834.58277829362
FDG52,OUT046,763.021231913912
NCL19,OUT019,343.709515235457
FDS10,OUT035,2888.59704571868
FDX22,OUT010,505.839032317636
NCF19,OUT035,760.83478727133
NCE06,OUT046,2579.45167397387
DRC27,OUT046,3910.6704125442
FDE21,OUT035,1862.78051123751
NCR42,OUT019,77.4841643582641
FDX51,OUT018,3115.76672614912
NCR06,OUT018,677.848984104535
FDU31,OUT027,5794.9659426738
FDU59,OUT017,2625.25513199078
FDR03,OUT027,5458.23907379679
FDS49,OUT027,2138.72445475936
FDD48,OUT010,275.305654662973
NCF18,OUT017,3071.09804568793
NCD43,OUT027,2751.67125262032
NCD54,OUT018,2291.58897537279
FDY19,OUT010,281.653609418283
NCY54,OUT017,2780.08034582629
NCL19,OUT018,2315.05809315911
FDP23,OUT010,524.488835641736
FDC26,OUT013,1793.08598997694
FDR14,OUT010,134.80602677747
NCS41,OUT035,2929.017502598
FDF41,OUT035,3966.06354004612
FDU34,OUT046,1996.32305192929
DRH11,OUT046,911.999943920061
FDM03,OUT013,1705.26379683321
FDS31,OUT017,2893.39188046118
FDJ20,OUT017,1955.31442865488
FDV44,OUT027,5022.34213946524
FDG02,OUT049,3017.84980759416
FDA09,OUT013,2871.5625961568
FDT04,OUT013,613.454353512682
FDL58,OUT019,635.657000923361
FDE52,OUT045,1440.87021601845
FDW12,OUT035,2315.01653792467
FDL51,OUT017,3436.10004562644
NCY42,OUT027,3761.64427914439
FDR07,OUT017,1547.28358173713
FDN40,OUT045,2440.56768737894
FDB35,OUT027,2405.27860235294
FDA22,OUT017,2650.19786232129
NCL06,OUT046,4196.42977697156
FDI35,OUT013,2897.0934928824
NCW42,OUT045,3542.51341134512
NCX06,OUT049,2878.46076507302
FDC37,OUT027,2879.34366352941
FDZ14,OUT018,1955.90259504996
DRG49,OUT049,3919.755026103
NCG06,OUT045,4095.82135784781
DRC36,OUT045,2776.2956229362
FDV21,OUT019,301.510707294552
FDB53,OUT046,2375.66800086088
DRP47,OUT019,609.53452723915
FDA14,OUT013,2320.31642859339
DRC24,OUT035,2440.56768737894
FDW21,OUT018,1608.44010059954
NCH29,OUT046,1556.28508482706
FDU58,OUT013,3015.78802865488
FDY27,OUT017,2839.09197528055
FDV56,OUT035,1741.4775853651
FDT59,OUT046,3685.09901036126
FDB23,OUT046,3604.21654136818
FDR49,OUT045,739.005502966948
FDB03,OUT010,584.943385964912
FDN39,OUT045,2649.65125116065
FDX02,OUT027,5938.3984740107
FDQ16,OUT027,2868.62933647059
FDU35,OUT018,1589.80737279016
NCT29,OUT013,1952.15942739431
FDZ27,OUT046,769.33123443505
FDN57,OUT017,2244.22879434281
FDA03,OUT018,2327.25615274404
FDZ36,OUT045,2968.38629239047
NCU05,OUT013,1297.19139468101
FDT39,OUT018,2415.58340181399
FDK60,OUT017,1553.6351394927
FDZ25,OUT017,2705.54943458878
FDG12,OUT046,1951.6543714681
DRB01,OUT019,462.521786703601
NCC43,OUT027,6669.35190139037
FDX13,OUT019,600.289065558633
FDM22,OUT049,848.11036925442
FDJ03,OUT027,1300.54791828877
FDU14,OUT018,3992.09949269792
FDB33,OUT010,383.982929824561
FDP27,OUT046,3047.16542720984
FDO38,OUT010,185.195603878116
FDE28,OUT027,6175.95527743316
FDO27,OUT035,1524.36107511145
DRL23,OUT027,2850.06954588235
FDS28,OUT046,894.377327963105
FDX24,OUT013,1479.14578348962
FDZ02,OUT035,1540.30230235204
FDL46,OUT045,1869.13206899308
FDS60,OUT027,4757.46992299465
NCO06,OUT017,528.32366093774
FDO16,OUT035,1352.5429669485
FDC60,OUT049,1396.11842508839
FDA48,OUT018,3519.59090471945
FDZ36,OUT027,4961.27100748663
FDK27,OUT045,1928.73186484243
FDW23,OUT018,620.394077663336
FDM14,OUT018,1760.11031317448
FDM14,OUT013,1729.74302647194
FDW60,OUT018,2842.33008700999
FDE21,OUT013,1861.18223299001
NCM42,OUT035,1748.37575428132
FDY59,OUT010,226.841470914127
DRI49,OUT049,1299.84134001537
FDT28,OUT019,365.256825484765
FDQ22,OUT018,632.633692482706
FDR60,OUT049,1223.20709460415
FDC50,OUT019,228.68428531856
FDV24,OUT013,2426.26629362029
DRF48,OUT010,454.883958448753
FDQ47,OUT046,584.768455526518
DRN36,OUT049,1556.32664006149
NCY06,OUT035,2055.33468138355
FDE52,OUT035,1431.28054653344
NCB54,OUT045,2028.7521175711
NCF31,OUT035,2439.01096436587
FDJ08,OUT027,5050.70609818182
NCC07,OUT017,1695.71568258263
NCD19,OUT027,1430.74322588235
FDL46,OUT049,1901.09763394312
FDM20,OUT045,3935.19119741737
NCI06,OUT010,435.751237303786
DRM11,OUT035,4144.77981712529
NCH07,OUT018,2532.63810410453
FDS23,OUT013,2069.7607408455
FDO49,OUT018,784.767405749423
FDS35,OUT049,1043.39759520369
DRK39,OUT045,1318.97912375096
DRI39,OUT049,931.684338816295
FDV04,OUT017,2525.73993518832
NCN14,OUT035,2917.82955486549
FDH08,OUT013,3693.63701275942
FDS20,OUT046,2925.31589017679
FDV40,OUT049,1205.16253318985
FDZ48,OUT010,266.943449676824
FDS24,OUT027,2329.99089433155
FDK44,OUT049,2786.97851474251
FDS48,OUT045,2404.94206524212
FDK26,OUT010,451.344653739612
FDD23,OUT045,3014.18975040738
NCH54,OUT017,2581.0915074558
NCP14,OUT010,257.227626038781
FDM60,OUT010,95.1681320406279
FDV24,OUT017,2418.27490238278
FDH08,OUT018,3656.87661306687
FDS12,OUT027,3396.76103165775
FDR39,OUT027,4807.05495572193
FDP12,OUT027,971.033127486631
DRF60,OUT027,6292.77497454545
FDC09,OUT035,1641.96238856264
FDF50,OUT018,3173.8097989854
FDG28,OUT035,3898.43079772483
NCE19,OUT017,886.974103120676
NCM53,OUT010,261.326149584487
NCN18,OUT049,1773.36003984627
FDF32,OUT035,3182.85285730976
FDF11,OUT013,3827.13799821676
DRI59,OUT049,3599.46326186011
NCG54,OUT035,2709.25104700999
FDM44,OUT046,1620.63816018447
FDT57,OUT018,3775.52959360492
FDV24,OUT046,2416.67662413528
FDI50,OUT019,550.128391505078
FDS09,OUT035,818.331248946964
NCC31,OUT027,4114.26965518717
FDQ07,OUT019,528.905119113573
FDC22,OUT017,3066.80826687164
FDZ56,OUT046,2706.64265691007
FDZ40,OUT019,130.218307479224
FDS46,OUT027,3150.37941240642
DRD24,OUT045,2247.42535083782
FDV45,OUT017,3023.23280873174
FDL26,OUT045,2490.07275781706
FDA56,OUT018,1966.54393162183
FDN27,OUT046,1888.85801912375
FDM20,OUT049,3916.01185844735
FDO16,OUT017,1323.77395849347
FDL03,OUT035,3126.40806272098
FDE58,OUT046,1870.18373607994
FDI02,OUT027,2986.49757925134
NCC55,OUT019,93.8908144044321
FDR03,OUT018,3289.224667794
FDB14,OUT017,1480.19745057648
FDR45,OUT013,3850.60711600307
NCN07,OUT017,2078.21563277479
FDM51,OUT019,246.93374976916
FDT52,OUT027,6517.86632641711
FDL26,OUT046,2466.09858410453
NCZ42,OUT046,3818.68310628747
DRI47,OUT019,351.59508033241
FDW40,OUT013,2256.46840916218
FDN34,OUT046,2704.49776750192
FDS01,OUT035,2850.82653417371
NCG55,OUT045,1857.48062056879
FDC11,OUT035,1397.17009217525
FDX35,OUT018,3618.55949036126
NCB06,OUT046,2563.51044673328
FDR09,OUT019,627.542532779317
FDC53,OUT017,1549.3453606764
FDY45,OUT013,4079.37507468101
FDA22,OUT010,406.896414589104
FDE02,OUT035,1522.80435209839
FDW21,OUT045,1611.63665709454
FDV34,OUT046,1176.39352473482
FDS59,OUT049,1744.63258662567
NCW17,OUT017,2044.18828888547
NCK54,OUT046,1873.42184780938
FDG17,OUT019,589.760008310249
FDG35,OUT017,2766.20089752498
FDD08,OUT010,91.3936463527239
NCO07,OUT017,3374.86041629516
FDJ10,OUT010,343.556913204063
FDW36,OUT017,1663.20350647194
FDW21,OUT010,243.959941828255
FDY19,OUT017,1886.7131297156
DRE03,OUT013,752.338340107609
NCC55,OUT049,610.299352252114
FDH52,OUT010,153.614710064635
FDO09,OUT017,4230.49867609531
FDU43,OUT045,3827.17955345119
FDX09,OUT010,422.642433056325
FDH40,OUT019,200.718997229917
FDW58,OUT017,1669.59661946195
FDC47,OUT017,3632.39738342813
NCR41,OUT035,1508.92490379708
DRG49,OUT035,3911.76363486549
FDC52,OUT027,4052.35755764706
FDY13,OUT046,1191.78814081476
FDY35,OUT013,703.884936756341
FDI35,OUT017,2905.08488411991
NCU18,OUT049,2260.75818797848
FDY33,OUT018,2533.68977119139
FDC15,OUT027,4192.28784
FDU01,OUT049,2980.66746244427
NCU42,OUT046,2709.83921340507
NCV29,OUT018,2839.6385864412
NCY30,OUT017,2923.21255600307
FDQ46,OUT049,1792.5393788163
FDG58,OUT027,4092.97938780749
FDK33,OUT017,3408.4242594927
NCD07,OUT045,1848.43756224443
NCX29,OUT027,3843.16471294118
NCT42,OUT013,2370.87316611837
DRN59,OUT035,733.705612298232
FDI44,OUT035,1263.1640507917
FDA45,OUT049,2848.7232
FDP31,OUT045,1050.33731935434
FDY01,OUT046,1840.95122693313
FDT09,OUT018,2122.96742370484
DRH03,OUT027,2523.21603850267
FDA36,OUT018,2983.86401893928
NCF31,OUT017,2451.79719034589
FDG14,OUT049,2418.23334714835
FDG28,OUT027,6533.83402695187
FDU14,OUT049,3998.49260568793
FDY47,OUT019,316.627483841182
FDI56,OUT049,1445.07688436587
DRD01,OUT013,902.41027443505
FDM22,OUT046,876.879377709454
FDH33,OUT013,675.157483535742
DRZ24,OUT013,1893.06468747118
NCQ38,OUT046,1681.83623428132
FDO16,OUT027,2236.14339572193
FDU07,OUT027,3971.60889604278
NCB07,OUT013,3108.82700199846
FDU48,OUT045,2111.77947597233
NCM43,OUT045,2639.09302505765
FDR31,OUT010,348.691295475531
DRK49,OUT018,657.112922121445
NCI30,OUT010,590.961024930748
DRD60,OUT017,2895.4952146349
NCG19,OUT046,3761.73325577248
FDH12,OUT035,1678.63967778632
FDM32,OUT035,1465.34944565719
FDM27,OUT035,2494.82603732513
NCU53,OUT027,4411.98743165775
NCQ18,OUT046,1585.01253804766
FDS10,OUT013,2863.02459375865
FDB33,OUT027,4189.55736320856
FDI12,OUT013,1372.69086253651
NCW42,OUT013,3539.31685485012
NCC06,OUT018,2055.92284777863
FDW02,OUT017,2011.75922324366
NCD43,OUT017,1666.94667412759
FDM57,OUT018,1326.42390382782
FDA58,OUT017,3786.21248541122
FDK56,OUT046,2959.84828999231
FDP52,OUT045,3695.23529100692
FDW20,OUT018,1981.43349177556
FDS52,OUT049,1604.69693294389
NCT29,OUT018,1915.39902770177
NCL54,OUT013,2822.64569211376
FDC05,OUT045,3169.01496424289
FDF34,OUT035,3145.54584645657
FDP03,OUT027,3311.66915550802
FDD32,OUT010,200.960456140351
FDZ10,OUT045,2037.8367311299
FDZ40,OUT035,865.144818816295
FDD51,OUT018,699.636713174481
NCY30,OUT019,433.654408125577
FDP58,OUT017,3483.41867142198
FDV49,OUT017,4224.61061903151
FDY24,OUT019,126.596423822715
NCO55,OUT017,1713.25518807071
FDR13,OUT017,1864.37878948501
FDS51,OUT017,991.242579431207
FDP26,OUT045,1673.88639827825
NCB54,OUT027,3439.27237304813
FDF32,OUT017,3150.88729235972
FDN31,OUT018,3023.19125349731
DRM48,OUT017,576.735509054573
FDN20,OUT049,2701.84782216756
DRL01,OUT046,3727.11774548809
FDV56,OUT049,1714.30685515757
DRH13,OUT027,2866.94740534759
FDA03,OUT017,2327.25615274404
FDF47,OUT027,5957.9376168984
FDX32,OUT046,2341.13560104535
FDX57,OUT049,1542.44719176018
NCA30,OUT045,3046.11376012298
FDO49,OUT013,787.963962244427
FDL04,OUT019,253.923502308403
DRM48,OUT035,595.914848024596
FDR16,OUT013,3393.49314410453
NCC19,OUT018,3079.59449285165
NCE42,OUT045,3763.87814518063
FDY24,OUT017,877.931044796311
FDH19,OUT049,2804.55957546503
