Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1739.08150206718
FDW14,OUT017,1336.85409981651
NCN55,OUT010,565.232790992832
FDQ58,OUT017,2634.81390115356
FDY38,OUT027,6150.20256807327
FDH56,OUT046,1906.41929059753
FDL48,OUT018,664.009478826523
FDC48,OUT027,2021.94209606323
FDN33,OUT045,1476.15594518356
FDA36,OUT017,3068.61673238373
FDT44,OUT017,1886.73752384853
FDQ56,OUT045,1311.88092212219
NCC54,OUT019,616.088294073868
FDU11,OUT049,2004.57426373558
DRL59,OUT013,781.134031374741
FDM24,OUT049,2546.17214359093
FDI57,OUT045,3462.21643379669
DRC12,OUT018,2795.20872494888
NCM42,OUT027,2856.16060847168
FDA46,OUT010,501.435139990997
FDA31,OUT013,2847.13122436523
NCJ31,OUT035,3899.96199580994
FDG52,OUT046,727.959376574707
NCL19,OUT019,360.701652860642
FDS10,OUT035,3109.816019524
FDX22,OUT010,588.44649833374
NCF19,OUT035,800.448472534561
NCE06,OUT046,2586.2583012661
DRC27,OUT046,3799.34044633064
FDE21,OUT035,2021.46287608795
NCR42,OUT019,73.828306093216
FDX51,OUT018,2734.66837435265
NCR06,OUT018,460.199191844177
FDU31,OUT027,5787.73110541534
FDU59,OUT017,2671.29430289612
FDR03,OUT027,4701.65516357803
FDS49,OUT027,2240.08238808212
FDD48,OUT010,263.379453383636
NCF18,OUT017,3193.9103385376
NCD43,OUT027,2593.16356051712
NCD54,OUT018,1920.73690479813
FDY19,OUT010,239.951391478872
NCY54,OUT017,2669.68836684151
NCL19,OUT018,2028.73544535828
FDP23,OUT010,568.564568577719
FDC26,OUT013,1761.10421927433
FDR14,OUT010,151.703543430614
NCS41,OUT035,3024.04648139648
FDF41,OUT035,4042.68904045486
FDU34,OUT046,2030.62791986389
DRH11,OUT046,889.545550525284
FDM03,OUT013,1705.38792136345
FDS31,OUT017,3062.4658961647
FDJ20,OUT017,2034.6817488945
FDV44,OUT027,5117.37658368912
FDG02,OUT049,3036.88948139648
FDA09,OUT013,2903.16642213821
FDT04,OUT013,597.564318452263
FDL58,OUT019,615.074953384399
FDE52,OUT045,1313.49856260662
FDW12,OUT035,2364.29706845093
FDL51,OUT017,3600.01387878723
NCY42,OUT027,3651.37232361221
FDR07,OUT017,1558.05471723862
FDN40,OUT045,2092.71739902401
FDB35,OUT027,2183.57993460617
FDA22,OUT017,2766.63843205605
NCL06,OUT046,4092.67484527645
FDI35,OUT013,2996.23261232147
NCW42,OUT045,3440.33466703491
NCX06,OUT049,3094.16716580505
FDC37,OUT027,2663.80099123077
FDZ14,OUT018,1683.20333375664
DRG49,OUT049,4060.17625059242
NCG06,OUT045,3837.77510463867
DRC36,OUT045,2781.9223561203
FDV21,OUT019,345.605378582764
FDB53,OUT046,2353.3711687706
DRP47,OUT019,553.534940619373
FDA14,OUT013,2239.67778565979
DRC24,OUT035,2611.89913641357
FDW21,OUT018,1314.46473020134
NCH29,OUT046,1662.3532480648
FDU58,OUT013,3121.63090445595
FDY27,OUT017,2820.56764828415
FDV56,OUT035,1790.49887736511
FDT59,OUT046,3789.84766394806
FDB23,OUT046,3778.25941498566
FDR49,OUT045,726.867695691681
FDB03,OUT010,635.26766258769
FDN39,OUT045,2611.44233169785
FDX02,OUT027,5497.71072700882
FDQ16,OUT027,2736.14168215942
FDU35,OUT018,1397.78004939079
NCT29,OUT013,1841.75974489517
FDZ27,OUT046,728.667974839211
FDN57,OUT017,2229.85013229351
FDA03,OUT018,1978.98830929699
FDZ36,OUT045,2997.1056051178
NCU05,OUT013,1207.88713544865
FDT39,OUT018,2026.76397974281
FDK60,OUT017,1590.67467806625
FDZ25,OUT017,2885.6695583992
FDG12,OUT046,2077.63878145027
DRB01,OUT019,499.976966858625
NCC43,OUT027,6487.14978793983
FDX13,OUT019,679.029063255978
FDM22,OUT049,850.781234893799
FDJ03,OUT027,1410.58539847946
FDU14,OUT018,3499.97428369522
FDB33,OUT010,400.785793592691
FDP27,OUT046,3015.0474767189
FDO38,OUT010,185.07113332758
FDE28,OUT027,6097.79321764755
FDO27,OUT035,1530.11554239807
DRL23,OUT027,2597.1706996273
FDS28,OUT046,857.559847225571
FDX24,OUT013,1456.34875532436
FDZ02,OUT035,1563.80336983337
FDL46,OUT045,1770.60223461685
FDS60,OUT027,4593.4219797554
NCO06,OUT017,466.872445388031
FDO16,OUT035,1402.44637918472
FDC60,OUT049,1567.72227731667
FDA48,OUT018,3141.87327303772
FDZ36,OUT027,4996.70495492554
FDK27,OUT045,1801.43827583656
FDW23,OUT018,489.042751217651
FDM14,OUT018,1480.97089018078
FDM14,OUT013,1688.76164013424
FDW60,OUT018,2489.02468100738
FDE21,OUT013,1857.91843608055
NCM42,OUT035,1820.01411711426
FDY59,OUT010,258.500507387352
DRI49,OUT049,1272.18419512482
FDT28,OUT019,383.154581069756
FDQ22,OUT018,456.329341263962
FDR60,OUT049,1227.94849135132
FDC50,OUT019,225.919514596939
